ASN,Organización,Descripción,País
10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR
131094,HYUNDAIMOTORCO-AS-KR,HYUNDAI MOTOR CO,KR
134225,HYUNDAI-AS-AP,Hyundai Motor India Engineering Pvt Ltd,IN
135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU
14961,HYUNDAI-INFORMATION-SERVICE-NORTH-AMERICA,"Kia Motors America, Inc.",US
17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR
265546,"HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV","HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV",MX
4670,HYUNDAI-KR,Shinbiro,KR
52782,HYUNDAI AUTOEVER BRASIL TECNOLOGIA DA INFORMACAO,HYUNDAI AUTOEVER BRASIL TECNOLOGIA DA INFORMACAO,BR
9529,HYUNDAICARD-AS-KR,hyundaicapital,KR
9629,HYUNDAICAPITAL-AS-KR,HYUNDAICARD CO.,KR
9645,HYUNDAIFUTURES-AS,HI INVESTMENT FUTURES CORPORATION,KR
6128,CABLE-NET-1 (HYUNDAI HYUNDAI),,US
7270,NET2PHONE (Hyundai),,US
7922,COMCAST-7922 (HYUNDAI),,US
14453,AS-AKN (Hyundai),,CA
3602,AS3602-ROGERS-COM (HYUNDAI),,CA
18687,MPOWER-2 (Hyundai),,US
7018,ATT-INTERNET4 (Hyundai),,US
7029,WINDSTREAM (GLENBROOK HYUNDAI),,US
701,UUNET (Alexandria Hyundai),,US
2711,SPIRITTEL-AS (Murfreesboro Hyundai),,US
12271,TWC-12271-NYC (KOEPPEL HYUNDAI),,US
577,BACOM (Alpine Hyundai),,CA
4181,TDS-AS (ARROW HYUNDAI),,US
10796,TWC-10796-MIDWEST (ELYRIA HYUNDAI),,US
20115,CHARTER-20115 (Hyundai Glovis),,US
11427,TWC-11427-TEXAS (GREENVILLE HYUNDAI),,US
11426,TWC-11426-CAROLINAS (KEFFER HYUNDAI),,US
11342,PATHWAY (Hyundai Thornhill),,CA
33132,FIBERNET-DIRECT (Potamkin Hyundai),,US
20001,TWC-20001-PACWEST (HYUNDAI CORPORATION),,US
20161,TRGO (NORTHSIDE HYUNDAI),,CA
16399,FIRSTCOMM-AS2 (Patrick Hyundai),,US
22561,CENTURYLINK-LEGACY-LIGHTCORE (Kari Hyundai),,US
852,ASN852 (HYUNDAI BLAINVILLE),,CA
7992,COGECOWAVE (Burlington Hyundai),,CA
19994,RACKSPACE (Hyundai Mexico),,US
32613,IWEB-AS (Hyundai Sherbrooke),,CA
6389,BELLSOUTH-NET-BLK (CCLD Hyundai),,US
22773,ASN-CXA-ALL-CCI-22773-RDC (Tulsa Hyundai),,US
11215,LOGIXCOMM-AS (EDMOND HYUNDAI),,US
